area,fhir_path,concept_display,ehi_join_table,ehi_join_column,epic_local_system,epic_local_code,epic_local_display,target_system,target_code,target_display,anchor_method,ehi_verified,confidence,notes,system_class
smartdata,Observation.code,effort normal,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PEPU0100,effort normal,,,,dual-coding,no,low,"SmartData element ""FINDINGS - PHYSICAL EXAM - RESPIRATORY - EFFORT - EFFORT NORMAL""; no standard coding present in target code.coding. SMRTDTA_* element store not shipped in this EHI export (no EPIC# code in any DB column).",standard
smartdata,Observation.code,extraocular movement intact,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#OPH401,extraocular movement intact,http://snomed.info/sct,103251002,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - EYE EXAM - EXTRAOCULAR MOVEMENT - EXTRAOCULAR MOVEMENT INTACT"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,guarding,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PEAB0213,guarding,http://snomed.info/sct,163224007,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - GASTROINTESTINAL - ABDOMEN - GUARDING"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,left CVA tenderness,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#31000134238,left CVA tenderness,,,,dual-coding,no,low,"SmartData element ""FINDINGS - PHYSICAL EXAM - GASTROINTESTINAL - ABDOMINAL - ABDOMINAL TENDERNESS - CVA TENDERNESS - LEFT CVA TENDERNESS""; no standard coding present in target code.coding. SMRTDTA_* element store not shipped in this EHI export (no EPIC# code in any DB column).",standard
smartdata,Observation.code,left ear normal TM,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PEHE0040,left ear normal TM,http://snomed.info/sct,164232008,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - HENT - EAR FINDINGS - LEFT EAR - TYMPANIC MEMBRANE FINDINGS - LEFT EAR NORMAL TM"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,moist mucous membranes,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PEHE0120,moist mucous membranes,http://snomed.info/sct,276398005,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - HENT - MOUTH - MOIST MUCOUS MEMBRANES"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,musculoskeletal exam comments,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PE0038,musculoskeletal exam comments,,,,dual-coding,no,low,"SmartData element ""FINDINGS - PHYSICAL EXAM - MUSCULOSKELETAL - MUSCULOSKELETAL COMMENTS/IMAGES - MUSCULOSKELETAL EXAM COMMENTS""; no standard coding present in target code.coding. SMRTDTA_* element store not shipped in this EHI export (no EPIC# code in any DB column).",standard
smartdata,Observation.code,neck rigidity,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PENK0405,neck rigidity,http://snomed.info/sct,405947006,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - MUSCULOSKELETAL - NECK - NECK RIGIDITY"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,no focal deficit,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#31000134232,no focal deficit,,,,dual-coding,no,low,"SmartData element ""FINDINGS - PHYSICAL EXAM - NEUROLOGICAL - FOCAL DEFICIT - NO FOCAL DEFICIT""; no standard coding present in target code.coding. SMRTDTA_* element store not shipped in this EHI export (no EPIC# code in any DB column).",standard
smartdata,Observation.code,normal heart sounds,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PECA0002,normal heart sounds,http://snomed.info/sct,163074001,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - CARDIOVASCULAR - HEART SOUNDS - NORMAL HEART SOUNDS"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,normal rate,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PECA0006,normal rate,http://snomed.info/sct,162990009,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - CARDIOVASCULAR - RATE AND RHYTHM - RATE - NORMAL RATE"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,normocephalic,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PEHE0005,normocephalic,http://snomed.info/sct,301316004,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - HENT - HEAD FINDINGS - NORMOCEPHALIC"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,nursing note reviewed,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PECN0004,nursing note reviewed,,,,dual-coding,no,low,"SmartData element ""CONSTITUTIONAL EXAM NURSING NOTE REVIEWED""; no standard coding present in target code.coding. SMRTDTA_* element store not shipped in this EHI export (no EPIC# code in any DB column).",standard
smartdata,Observation.code,oriented,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PECN0003,oriented,http://snomed.info/sct,247663003,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - NEUROLOGICAL - ORIENTATION - ORIENTED"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,oropharynx clear,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PEHE0128,oropharynx clear,,,,dual-coding,no,low,"SmartData element ""FINDINGS - PHYSICAL EXAM - HENT - OROPHARYNX - OROPHARYNX CLEAR""; no standard coding present in target code.coding. SMRTDTA_* element store not shipped in this EHI export (no EPIC# code in any DB column).",standard
smartdata,Observation.code,rebound,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PEAB0214,rebound,http://snomed.info/sct,163236001,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - GASTROINTESTINAL - ABDOMEN - REBOUND"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,regular rhythm,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PECA0005,regular rhythm,http://snomed.info/sct,162999005,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - CARDIOVASCULAR - RATE AND RHYTHM - REGULAR RHYTHM"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,respiratory distress,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PEPU0101,respiratory distress,http://snomed.info/sct,162892000,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - RESPIRATORY - EFFORT - RESPIRATORY DISTRESS"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,right CVA tenderness,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#31000134239,right CVA tenderness,,,,dual-coding,no,low,"SmartData element ""FINDINGS - PHYSICAL EXAM - GASTROINTESTINAL - ABDOMINAL - ABDOMINAL TENDERNESS - CVA TENDERNESS - RIGHT CVA TENDERNESS""; no standard coding present in target code.coding. SMRTDTA_* element store not shipped in this EHI export (no EPIC# code in any DB column).",standard
smartdata,Observation.code,scleral icterus,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PEEY3017,scleral icterus,http://snomed.info/sct,246975001,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - EYE EXAM - SCLERAL ICTERUS"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,sensory deficit,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PENE0008,sensory deficit,http://snomed.info/sct,247322000,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - NEUROLOGICAL - SENSORY FINDINGS - SENSORY DEFICIT"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,skin dry,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PESK0005,skin dry,http://snomed.info/sct,164323008,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - INTEGUMENTARY - SKIN EXAM - SKIN MOISTURE - SKIN DRY"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,skin exam comments,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PE0037,skin exam comments,,,,dual-coding,no,low,"SmartData element ""FINDINGS - PHYSICAL EXAM - INTEGUMENTARY - SKIN EXAM - SKIN IMAGES/COMMENTS - SKIN EXAM COMMENTS""; no standard coding present in target code.coding. SMRTDTA_* element store not shipped in this EHI export (no EPIC# code in any DB column).",standard
smartdata,Observation.code,skin warm,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PESK0004,skin warm,http://snomed.info/sct,102599008,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - INTEGUMENTARY - SKIN EXAM - SKIN TEMPERATURE - SKIN WARM"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,tenderness,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PEAB0200,tenderness,http://snomed.info/sct,268941000,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - GASTROINTESTINAL - ABDOMINAL - ABDOMINAL TENDERNESS - TENDERNESS"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
smartdata,Observation.code,vitals reviewed,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PECN0002,vitals reviewed,,,,dual-coding,no,low,"SmartData element ""FINDINGS - PHYSICAL EXAM - CONSTITUTIONAL - VITALS - VITALS REVIEWED""; no standard coding present in target code.coding. SMRTDTA_* element store not shipped in this EHI export (no EPIC# code in any DB column).",standard
smartdata,Observation.code,weakness,SMRTDTA_ELEM_DATA,ELEMENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.727688,EPIC#PENE0013,weakness,http://snomed.info/sct,163600007,,dual-coding,no,medium,"SmartData element ""FINDINGS - PHYSICAL EXAM - NEUROLOGICAL - WEAKNESS"". SMRTDTA_* element store not shipped (no EPIC# code in any DB column) → join key unverifiable; pair recorded as would-be mapping.",standard
social,Observation.code,Alcohol Use History,SOCIAL_HX,,,,,http://loinc.org,11331-6,Alcohol Use History,content-match,no,low,"Social-history panel ""Alcohol Use History"" lives in SOCIAL_HX, but no Epic-local concept code is carried in target code.coding or shipped in the EHI; standard coding recorded as residual gap.",standard
social,Observation.code,Alcohol Use History,SOCIAL_HX,,,,,http://snomed.info/sct,228273003,Finding relating to alcohol drinking behavior (finding),content-match,no,low,"Social-history panel ""Alcohol Use History"" lives in SOCIAL_HX, but no Epic-local concept code is carried in target code.coding or shipped in the EHI; standard coding recorded as residual gap.",standard
social,Observation.code,Drug Use History,SOCIAL_HX,,,,,http://loinc.org,11343-1,Drug Use History,content-match,no,low,"Social-history panel ""Drug Use History"" lives in SOCIAL_HX, but no Epic-local concept code is carried in target code.coding or shipped in the EHI; standard coding recorded as residual gap.",standard
social,Observation.code,Drug Use History,SOCIAL_HX,,,,,http://snomed.info/sct,228366006,Finding relating to drug misuse behavior (finding),content-match,no,low,"Social-history panel ""Drug Use History"" lives in SOCIAL_HX, but no Epic-local concept code is carried in target code.coding or shipped in the EHI; standard coding recorded as residual gap.",standard
social,Observation.code,Smoking History,SOCIAL_HX,,,,,http://loinc.org,72166-2,Tobacco smoking status,content-match,no,low,"Social-history panel ""Smoking History"" lives in SOCIAL_HX, but no Epic-local concept code is carried in target code.coding or shipped in the EHI; standard coding recorded as residual gap.",standard
social,Observation.code,Smoking History,SOCIAL_HX,,,,,http://snomed.info/sct,365980008,Finding of tobacco use and exposure (finding),content-match,no,low,"Social-history panel ""Smoking History"" lives in SOCIAL_HX, but no Epic-local concept code is carried in target code.coding or shipped in the EHI; standard coding recorded as residual gap.",standard
social,Observation.code,Social Documentation,SOCIAL_HX,,,,,http://loinc.org,29762-2,Social Documentation,content-match,no,low,"Social-history panel ""Social Documentation"" lives in SOCIAL_HX, but no Epic-local concept code is carried in target code.coding or shipped in the EHI; standard coding recorded as residual gap.",standard
social,Observation.valueCodeableConcept,Alcohol Use History,SOCIAL_HX,ALCOHOL_USE_C_NAME,SOCIAL_HX.ALCOHOL_USE_C_NAME,Yes,Yes,http://snomed.info/sct,219006,Current drinker of alcohol (finding),value-set-literal,yes,high,"SOCIAL_HX.ALCOHOL_USE_C_NAME=""Yes"" → SNOMED 219006 (""Current drinker of alcohol (finding)""); value confirmed present in SOCIAL_HX.",standard
social,Observation.valueCodeableConcept,Drug Use History,SOCIAL_HX,ILL_DRUG_USER_C_NAME,SOCIAL_HX.ILL_DRUG_USER_C_NAME,No,No,http://snomed.info/sct,228367002,Does not misuse drugs (situation),value-set-literal,yes,high,"SOCIAL_HX.ILL_DRUG_USER_C_NAME=""No"" → SNOMED 228367002 (""Does not misuse drugs (situation)""); value confirmed present in SOCIAL_HX.",standard
social,Observation.valueCodeableConcept,Smoking History,SOCIAL_HX,SMOKING_TOB_USE_C_NAME,SOCIAL_HX.SMOKING_TOB_USE_C_NAME,Never,Never,http://snomed.info/sct,266919005,Never smoked tobacco,value-set-literal,yes,high,"SOCIAL_HX.SMOKING_TOB_USE_C_NAME=""Never"" → SNOMED 266919005 (""Never smoked tobacco""); value confirmed present in SOCIAL_HX.",standard
survey,Observation.code,Adolescent depression screening assessment,V_EHI_FLO_MEAS_VALUE,FLO_MEAS_ID,V_EHI_FLO_MEAS_VALUE.FLO_MEAS_ID,16752,PHQ-2 Total Score,http://loinc.org,73831-0,Adolescent depression screening assessment,content-match,yes,medium,"flowsheet question content-matched by flowsheet display name (""PHQ-2 Total Score"") to FLO_MEAS_ID=16752 (name maps to 2 FLO_MEAS_IDs: 16752,28282); LOINC/SNOMED dual-coded in target (standard coding from target code.coding).",standard
survey,Observation.code,Adolescent depression screening assessment,V_EHI_FLO_MEAS_VALUE,FLO_MEAS_ID,V_EHI_FLO_MEAS_VALUE.FLO_MEAS_ID,5856,PHQ-2 Total Score (RETIRED) ,http://loinc.org,73831-0,Adolescent depression screening assessment,content-match,yes,medium,"flowsheet question content-matched by flowsheet display name (""PHQ-2 Total Score (RETIRED) "") to FLO_MEAS_ID=5856; LOINC/SNOMED dual-coded in target (standard coding from target code.coding).",standard
survey,Observation.code,Adult Depression Screening Assessment,V_EHI_FLO_MEAS_VALUE,FLO_MEAS_ID,V_EHI_FLO_MEAS_VALUE.FLO_MEAS_ID,16752,PHQ-2 Total Score,http://loinc.org,73832-8,Adult Depression Screening Assessment,content-match,yes,medium,"flowsheet question content-matched by flowsheet display name (""PHQ-2 Total Score"") to FLO_MEAS_ID=16752 (name maps to 2 FLO_MEAS_IDs: 16752,28282); LOINC/SNOMED dual-coded in target (standard coding from target code.coding).",standard
survey,Observation.code,Adult Depression Screening Assessment,V_EHI_FLO_MEAS_VALUE,FLO_MEAS_ID,V_EHI_FLO_MEAS_VALUE.FLO_MEAS_ID,5856,PHQ-2 Total Score (RETIRED) ,http://loinc.org,73832-8,Adult Depression Screening Assessment,content-match,yes,medium,"flowsheet question content-matched by flowsheet display name (""PHQ-2 Total Score (RETIRED) "") to FLO_MEAS_ID=5856; LOINC/SNOMED dual-coded in target (standard coding from target code.coding).",standard
survey,Observation.code,Alcohol Use Disorder Identification Test - Consumption [AUDIT-C],V_EHI_FLO_MEAS_VALUE,FLO_MEAS_ID,http://open.epic.com/FHIR/StructureDefinition/observation-flowsheet-id,tYZ8trhx0d3wq3wDqhbrONg0,Alcohol Use,http://loinc.org,72109-2,Alcohol Use Disorder Identification Test - Consumption [AUDIT-C],dual-coding,no,low,"flowsheet-id ""tYZ8trhx0d3wq3wDqhbrONg0"" dual-coded with standard in target; encrypted id not reversible to a raw FLO_MEAS_ID in this export (name not matched).",standard
survey,Observation.code,Alcohol Use Disorder Identification Test [AUDIT],V_EHI_FLO_MEAS_VALUE,FLO_MEAS_ID,http://open.epic.com/FHIR/StructureDefinition/observation-flowsheet-id,tNehToAciBHHmnfbZE-TqQA0,AUDIT Alcohol Screening,http://loinc.org,72110-0,Alcohol Use Disorder Identification Test [AUDIT],dual-coding,no,low,"flowsheet-id ""tNehToAciBHHmnfbZE-TqQA0"" dual-coded with standard in target; encrypted id not reversible to a raw FLO_MEAS_ID in this export (name not matched).",standard
survey,Observation.code,Body surface area Derived from formula,V_EHI_FLO_MEAS_VALUE,FLO_MEAS_ID,V_EHI_FLO_MEAS_VALUE.FLO_MEAS_ID,301060,BSA (Calculated - sq m),http://loinc.org,3140-1,Body surface area Derived from formula,content-match,yes,medium,"flowsheet question content-matched by flowsheet display name (""BSA (Calculated - sq m)"") to FLO_MEAS_ID=301060; LOINC/SNOMED dual-coded in target (standard coding from target code.coding).",standard
survey,Observation.code,Completed Tasks,V_EHI_FLO_MEAS_VALUE,FLO_MEAS_ID,http://open.epic.com/FHIR/StructureDefinition/observation-flowsheet-id,tm5.Ohx7880Q7T0pRSZGhOg0,Completed Tasks,,,,content-match,no,low,"flowsheet-id ""tm5.Ohx7880Q7T0pRSZGhOg0"" not name-matched to any FLO_MEAS_ID; no standard coding present in target code.coding.",standard
survey,Observation.code,Depression Screening Adult,V_EHI_FLO_MEAS_VALUE,FLO_MEAS_ID,V_EHI_FLO_MEAS_VALUE.FLO_MEAS_ID,28385,Depression Screening Adult,,,,content-match,yes,low,"flowsheet-id ""tQBMu.g3j65RRqC8Tfytx3w0"" content-matched by code.text (""Depression Screening Adult"") to FLO_MEAS_ID=28385; no standard coding present in target code.coding.",standard
survey,Observation.code,Difference in Last Recorded Weight (grams),V_EHI_FLO_MEAS_VALUE,FLO_MEAS_ID,V_EHI_FLO_MEAS_VALUE.FLO_MEAS_ID,3051000315,Difference in Last Recorded Weight (grams),,,,content-match,yes,low,"flowsheet-id ""t-kmAtbpZNEut64HY294SUQ0"" content-matched by code.text (""Difference in Last Recorded Weight (grams)"") to FLO_MEAS_ID=3051000315; no standard coding present in target code.coding.",standard
survey,Observation.code,Difference in Last Recorded Weight (kg),V_EHI_FLO_MEAS_VALUE,FLO_MEAS_ID,V_EHI_FLO_MEAS_VALUE.FLO_MEAS_ID,6427,Difference in Last Recorded Weight (kg),,,,content-match,yes,low,"flowsheet-id ""t.9pLm-OmcfEkuQQu2xRNnQ0"" content-matched by code.text (""Difference in Last Recorded Weight (kg)"") to FLO_MEAS_ID=6427; no standard coding present in target code.coding.",standard
survey,Observation.code,"Feeling down, depressed, or hopeless",V_EHI_FLO_MEAS_VALUE,FLO_MEAS_ID,V_EHI_FLO_MEAS_VALUE.FLO_MEAS_ID,2100100051,"2. Feeling down, depressed, or hopeless",http://loinc.org,44255-8,"Feeling down, depressed, or hopeless",content-match,yes,medium,"flowsheet question content-matched by flowsheet display name (""2. Feeling down, depressed, or hopeless"") to FLO_MEAS_ID=2100100051; LOINC/SNOMED dual-coded in target (standard coding from target code.coding).",standard
survey,Observation.code,"Have you felt down, depressed or hopeless over the past 2 weeks? (RETIRED)",V_EHI_FLO_MEAS_VALUE,FLO_MEAS_ID,V_EHI_FLO_MEAS_VALUE.FLO_MEAS_ID,4673,"Have you felt down, depressed or hopeless over the past 2 weeks? (RETIRED)",,,,content-match,yes,low,"flowsheet-id ""tbyWLIsfRJM74sAzyYd--Fg0"" content-matched by code.text (""Have you felt down, depressed or hopeless over the past 2 weeks? (RETIRED)"") to FLO_MEAS_ID=4673; no standard coding present in target code.coding.",standard
survey,Observation.code,Have you felt little interest or pleasure in doing things over the past 2 weeks?  (RETIRED),V_EHI_FLO_MEAS_VALUE,FLO_MEAS_ID,V_EHI_FLO_MEAS_VALUE.FLO_MEAS_ID,4671,Have you felt little interest or pleasure in doing things over the past 2 weeks?  (RETIRED),,,,content-match,yes,low,"flowsheet-id ""t4go13kCKbKECvaEHTLPiGQ0"" content-matched by code.text (""Have you felt little interest or pleasure in doing things over the past 2 weeks?  (RETIRED)"") to FLO_MEAS_ID=4671; no standard coding present in target code.coding.",standard
survey,Observation.code,Height and Weight,V_EHI_FLO_MEAS_VALUE,FLO_MEAS_ID,http://open.epic.com/FHIR/StructureDefinition/observation-flowsheet-id,tKMuu5.S8BnvoEw8wN0UBLw0,Height and Weight,,,,content-match,no,low,"flowsheet-id ""tKMuu5.S8BnvoEw8wN0UBLw0"" not name-matched to any FLO_MEAS_ID; no standard coding present in target code.coding.",standard
