area,fhir_path,concept_display,ehi_join_table,ehi_join_column,epic_local_system,epic_local_code,epic_local_display,target_system,target_code,target_display,anchor_method,ehi_verified,confidence,notes,system_class
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.128,PPLIP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.129,LIPIDR,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.133,PPLIP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.144,LIPID,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.93,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.141,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.130,LIPIDR,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.138,PPLIP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.137,BLIPID,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.131,PLIP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.135,LIPIDN,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.145,PPLIP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.152,PPLIP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.150,PPLIP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1121,LIPIDC,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1123,LIPIDC,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1124,LDXC,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1126,LIPIDC,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1132,LDXC,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1133,LDXC,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.164,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1122,LIPIDC,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.132,PLIP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1143,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1144,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1146,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1147,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1148,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1149,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1150,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1151,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1152,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1153,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1154,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1155,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1156,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1159,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1160,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1161,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1165,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1166,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1167,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1168,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1142,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.156,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.583,LDXC,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1172,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1171,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.597,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.600,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.598,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.632,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.172,LIPIDS,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.114,PMLIP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.174,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.169,LDXC,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.176,LIPIDS,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.175,LIPIDS,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.1076,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.362,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.437,LDXC,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.345,PMLIP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.449,PMLIP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.450,PMLIP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
