area,fhir_path,concept_display,ehi_join_table,ehi_join_column,epic_local_system,epic_local_code,epic_local_display,target_system,target_code,target_display,anchor_method,ehi_verified,confidence,notes,system_class
lab,Observation.code,Cholesterol/HDL Ratio,ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1557763,Cholesterol/HDL Ratio,http://loinc.org,9830-1,Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma,dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""CHOLESTEROL/HDL RATIO"". ",standard
lab,Observation.code,CO2,ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1526212,CO2,http://loinc.org,2028-9,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""CO2"". ",standard
lab,Observation.code,Creatinine,ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1510379,Creatinine,http://loinc.org,2160-0,Creatinine [Mass/volume] in Serum or Plasma,dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""CREATININE"". ",standard
lab,Observation.code,Creatinine Based eGFR,ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1180010753,Creatinine Based eGFR,http://loinc.org,77147-7,"Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)/1.73 sq M",dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""EGFR NON-AFR/AMER"". ",standard
lab,Observation.code,Estimated Avg Glucose,ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1180010806,Estimated Avg Glucose,http://loinc.org,27353-2,Glucose mean value [Mass/volume] in Blood Estimated from glycated hemoglobin,dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""ESTIMATED AVG GLUC"". ",standard
lab,Observation.code,Glucose,ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1510655,Glucose,http://loinc.org,2345-7,Glucose [Mass/volume] in Serum or Plasma,dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""GLUCOSE"". ",standard
lab,Observation.code,HDL Cholesterol,ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1726268,HDL Cholesterol,http://loinc.org,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""HDL"". ",standard
lab,Observation.code,Hemoglobin A1C,ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1526664,Hemoglobin A1C,http://loinc.org,4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""HEMOGLOBIN A1C"". ",standard
lab,Observation.code,Hep C Ab,ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1180011095,Hep C Ab,http://loinc.org,16128-1,Hepatitis C virus Ab [Presence] in Serum,dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""HEPATITIS C AB"". ",standard
lab,Observation.code,"LDL, Calculated",ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1557762,"LDL, Calculated",http://loinc.org,13457-7,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation,dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""LDL, CALCULATED"". ",standard
lab,Observation.code,"LDL, Calculated",ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1557762,"LDL, Calculated",http://loinc.org,2089-1,Cholesterol in LDL [Mass/volume] in Serum or Plasma,dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""LDL, CALCULATED"". ",standard
lab,Observation.code,Osmolality Calculated,ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1555053,Osmolality Calculated,http://loinc.org,18182-6,Osmolality of Serum or Plasma by calculated by sum of electrolytes,dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""OSMOLALITY CALCULATED"". ",standard
lab,Observation.code,Potassium,ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1534081,Potassium,http://loinc.org,2823-3,Potassium [Moles/volume] in Serum or Plasma,dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""POTASSIUM"". ",standard
lab,Observation.code,Sodium,ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1534098,Sodium,http://loinc.org,2951-2,Sodium [Moles/volume] in Serum or Plasma,dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""SODIUM"". ",standard
lab,Observation.code,Triglycerides,ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1552156,Triglycerides,http://loinc.org,2571-8,Triglyceride [Mass/volume] in Serum or Plasma,dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""TRIGLYCERIDES"". ",standard
lab,Observation.code,VLDL Cholesterol,ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1740002,VLDL Cholesterol,http://loinc.org,13458-5,Cholesterol in VLDL [Mass/volume] in Serum or Plasma by calculation,dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""VLDL CHOLESTEROL"". ",standard
vital,Observation.code,Blood Pressure,IP_FLWSHT_MEAS,FLO_MEAS_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.707679,5,BP,http://loinc.org,55284-4,Blood pressure systolic and diastolic,dual-coding,yes,high,1:n FLO_MEAS_ID->LOINC fan-out,standard
vital,Observation.code,Blood Pressure,IP_FLWSHT_MEAS,FLO_MEAS_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.707679,5,BP,http://loinc.org,85354-9,Blood pressure panel with all children optional,dual-coding,yes,high,1:n FLO_MEAS_ID->LOINC fan-out,standard
vital,Observation.code,Blood Pressure,IP_FLWSHT_MEAS,FLO_MEAS_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.707679,5,BP,http://loinc.org,8716-3,Vital signs,dual-coding,yes,medium,"generic flowsheet panel LOINC stamped on all vitals, not concept-specific",standard
vital,Observation.code,Pulse,IP_FLWSHT_MEAS,FLO_MEAS_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.707679,8,Pulse,http://loinc.org,8716-3,Vital signs,dual-coding,yes,medium,"generic flowsheet panel LOINC stamped on all vitals, not concept-specific",standard
vital,Observation.code,Pulse,IP_FLWSHT_MEAS,FLO_MEAS_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.707679,8,Pulse,http://loinc.org,8867-4,Heart rate,dual-coding,yes,high,1:n FLO_MEAS_ID->LOINC fan-out,standard
vital,Observation.code,SpO2,IP_FLWSHT_MEAS,FLO_MEAS_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.707679,10,SpO2,http://loinc.org,2708-6,Oxygen saturation in Arterial blood,dual-coding,yes,high,1:n FLO_MEAS_ID->LOINC fan-out,standard
vital,Observation.code,SpO2,IP_FLWSHT_MEAS,FLO_MEAS_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.707679,10,SpO2,http://loinc.org,2710-2,Oxygen saturation in Capillary blood by Oximetry,dual-coding,yes,high,1:n FLO_MEAS_ID->LOINC fan-out,standard
vital,Observation.code,SpO2,IP_FLWSHT_MEAS,FLO_MEAS_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.707679,10,SpO2,http://loinc.org,59408-5,Oxygen saturation in Arterial blood by Pulse oximetry,dual-coding,yes,high,1:n FLO_MEAS_ID->LOINC fan-out,standard
vital,Observation.code,SpO2,IP_FLWSHT_MEAS,FLO_MEAS_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.707679,10,SpO2,http://loinc.org,8716-3,Vital signs,dual-coding,yes,medium,"generic flowsheet panel LOINC stamped on all vitals, not concept-specific",standard
vital,Observation.code,Height,IP_FLWSHT_MEAS,FLO_MEAS_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.707679,11,Height,http://loinc.org,8302-2,Body height,dual-coding,yes,high,1:n FLO_MEAS_ID->LOINC fan-out,standard
vital,Observation.code,Height,IP_FLWSHT_MEAS,FLO_MEAS_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.707679,11,Height,http://loinc.org,8716-3,Vital signs,dual-coding,yes,medium,"generic flowsheet panel LOINC stamped on all vitals, not concept-specific",standard
vital,Observation.code,Weight,IP_FLWSHT_MEAS,FLO_MEAS_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.707679,14,Weight,http://loinc.org,29463-7,Body weight,dual-coding,yes,high,1:n FLO_MEAS_ID->LOINC fan-out,standard
vital,Observation.code,Weight,IP_FLWSHT_MEAS,FLO_MEAS_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.707679,14,Weight,http://loinc.org,3141-9,Body weight Measured,dual-coding,yes,high,1:n FLO_MEAS_ID->LOINC fan-out,standard
vital,Observation.code,Weight,IP_FLWSHT_MEAS,FLO_MEAS_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.707679,14,Weight,http://loinc.org,8716-3,Vital signs,dual-coding,yes,medium,"generic flowsheet panel LOINC stamped on all vitals, not concept-specific",standard
vital,Observation.code,BMI (Calculated),IP_FLWSHT_MEAS,FLO_MEAS_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.707679,301070,BMI (Calculated),http://loinc.org,39156-5,Body Mass Index (BMI) [Ratio],dual-coding,yes,high,1:n FLO_MEAS_ID->LOINC fan-out,standard
vital,Observation.code,BMI (Calculated),IP_FLWSHT_MEAS,FLO_MEAS_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.707679,301070,BMI (Calculated),http://loinc.org,8716-3,Vital signs,dual-coding,yes,medium,"generic flowsheet panel LOINC stamped on all vitals, not concept-specific",standard
vital,Observation.code,BP Position,IP_FLWSHT_MEAS,FLO_MEAS_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.707679,210000000013,BP Position,http://loinc.org,8716-3,Vital signs,dual-coding,yes,medium,"generic flowsheet panel LOINC stamped on all vitals, not concept-specific; only generic LOINC present for this measure in target",standard
vital,Observation.code,BP Cuff Size,IP_FLWSHT_MEAS,FLO_MEAS_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.707679,210000000014,BP Cuff Size,http://loinc.org,8716-3,Vital signs,dual-coding,yes,medium,"generic flowsheet panel LOINC stamped on all vitals, not concept-specific; only generic LOINC present for this measure in target",standard
vital,Observation.component.code[text=BP Systolic],Blood Pressure (Systolic),IP_FLWSHT_MEAS,FLO_MEAS_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.707679,5,BP,http://loinc.org,8480-6,Systolic blood pressure,component-split,yes,high,"per-half BP component LOINC; reuses packed FLO_MEAS_ID 5 coding, disambiguated by component code.text",standard
vital,Observation.component.code[text=BP Diastolic],Blood Pressure (Diastolic),IP_FLWSHT_MEAS,FLO_MEAS_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.707679,5,BP,http://loinc.org,8462-4,Diastolic blood pressure,component-split,yes,high,"per-half BP component LOINC; reuses packed FLO_MEAS_ID 5 coding, disambiguated by component code.text",standard
problem,Condition.code,Gastroesophageal reflux disease,PROBLEM_LIST,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,70859,Gastroesophageal reflux disease,http://hl7.org/fhir/sid/icd-10-cm,K21.9,Gastro-esophageal reflux disease without esophagitis,content-match,yes,medium,embedded Epic DX 8169 absent from this export; recovered DX_ID via name match,standard
problem,Condition.code,Gastroesophageal reflux disease,PROBLEM_LIST,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,70859,Gastroesophageal reflux disease,http://snomed.info/sct,235595009,Gastroesophageal Reflux Disease,content-match,yes,medium,embedded Epic DX 8169 absent from this export; recovered DX_ID via name match,standard
problem,Condition.code,Gastroesophageal reflux disease,PROBLEM_LIST,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,70859,Gastroesophageal reflux disease,http://snomed.info/sct,698065002,Acid Reflux,content-match,yes,medium,embedded Epic DX 8169 absent from this export; recovered DX_ID via name match,standard
problem,Condition.code,Gastroesophageal reflux disease,PROBLEM_LIST,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,70859,Gastroesophageal reflux disease,http://hl7.org/fhir/sid/icd-9-cm,530.81,Gastroesophageal reflux disease,content-match,yes,medium,embedded Epic DX 8169 absent from this export; recovered DX_ID via name match,standard
problem,Condition.code,Post concussion syndrome,PROBLEM_LIST,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,260690,Post concussion syndrome,http://hl7.org/fhir/sid/icd-10-cm,F07.81,Postconcussional syndrome,content-match,yes,medium,embedded Epic DX 802015 absent from this export; recovered DX_ID via name match,standard
problem,Condition.code,Post concussion syndrome,PROBLEM_LIST,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,260690,Post concussion syndrome,http://snomed.info/sct,40425004,Postconcussion Syndrome,content-match,yes,medium,embedded Epic DX 802015 absent from this export; recovered DX_ID via name match,standard
problem,Condition.code,Post concussion syndrome,PROBLEM_LIST,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,260690,Post concussion syndrome,http://hl7.org/fhir/sid/icd-9-cm,310.2,Post concussion syndrome,content-match,yes,medium,embedded Epic DX 802015 absent from this export; recovered DX_ID via name match,standard
problem,Condition.code,Neck pain,PROBLEM_LIST,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,86021,Neck pain,http://hl7.org/fhir/sid/icd-10-cm,M54.2,Cervicalgia,content-match,yes,medium,embedded Epic DX 78890 absent from this export; recovered DX_ID via name match,standard
problem,Condition.code,Neck pain,PROBLEM_LIST,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,86021,Neck pain,http://snomed.info/sct,81680005,Neck Pain,content-match,yes,medium,embedded Epic DX 78890 absent from this export; recovered DX_ID via name match,standard
problem,Condition.code,Neck pain,PROBLEM_LIST,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,86021,Neck pain,http://hl7.org/fhir/sid/icd-9-cm,723.1,Neck pain,content-match,yes,medium,embedded Epic DX 78890 absent from this export; recovered DX_ID via name match,standard
problem,Condition.code,"Allergic rhinoconjunctivitis, seasonal and perennial",PROBLEM_LIST,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,406413,"Allergic rhinoconjunctivitis, seasonal and perennial",http://hl7.org/fhir/sid/icd-10-cm,J30.2,Other seasonal allergic rhinitis,content-match,yes,medium,embedded Epic DX 2029089 absent from this export; recovered DX_ID via name match,standard
problem,Condition.code,"Allergic rhinoconjunctivitis, seasonal and perennial",PROBLEM_LIST,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,406413,"Allergic rhinoconjunctivitis, seasonal and perennial",http://hl7.org/fhir/sid/icd-10-cm,H10.10,"Acute atopic conjunctivitis, unspecified eye",content-match,yes,medium,embedded Epic DX 2029089 absent from this export; recovered DX_ID via name match,standard
problem,Condition.code,"Allergic rhinoconjunctivitis, seasonal and perennial",PROBLEM_LIST,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,406413,"Allergic rhinoconjunctivitis, seasonal and perennial",http://hl7.org/fhir/sid/icd-10-cm,J30.89,Other allergic rhinitis,content-match,yes,medium,embedded Epic DX 2029089 absent from this export; recovered DX_ID via name match,standard
problem,Condition.code,"Allergic rhinoconjunctivitis, seasonal and perennial",PROBLEM_LIST,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,406413,"Allergic rhinoconjunctivitis, seasonal and perennial",http://snomed.info/sct,878820003,Rhinoconjunctivitis,content-match,yes,medium,embedded Epic DX 2029089 absent from this export; recovered DX_ID via name match,standard
problem,Condition.code,"Allergic rhinoconjunctivitis, seasonal and perennial",PROBLEM_LIST,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,406413,"Allergic rhinoconjunctivitis, seasonal and perennial",http://snomed.info/sct,61582004,Allergic Rhinitis,content-match,yes,medium,embedded Epic DX 2029089 absent from this export; recovered DX_ID via name match,standard
problem,Condition.code,"Allergic rhinoconjunctivitis, seasonal and perennial",PROBLEM_LIST,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,406413,"Allergic rhinoconjunctivitis, seasonal and perennial",http://snomed.info/sct,473460002,Allergic Conjunctivitis,content-match,yes,medium,embedded Epic DX 2029089 absent from this export; recovered DX_ID via name match,standard
problem,Condition.code,"Allergic rhinoconjunctivitis, seasonal and perennial",PROBLEM_LIST,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,406413,"Allergic rhinoconjunctivitis, seasonal and perennial",http://hl7.org/fhir/sid/icd-9-cm,477.9,"Allergic rhinoconjunctivitis, seasonal and perennial",content-match,yes,medium,embedded Epic DX 2029089 absent from this export; recovered DX_ID via name match,standard
problem,Condition.code,Pollen-food allergy,PROBLEM_LIST,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,432113,Pollen-food allergy,http://hl7.org/fhir/sid/icd-10-cm,T78.19XA,"Other adverse food reactions, not elsewhere classified, initial encounter",content-match,yes,medium,embedded Epic DX 1712504 absent from this export; recovered DX_ID via name match,standard
problem,Condition.code,Pollen-food allergy,PROBLEM_LIST,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,432113,Pollen-food allergy,http://snomed.info/sct,432807008,Pollen-Food Allergy,content-match,yes,medium,embedded Epic DX 1712504 absent from this export; recovered DX_ID via name match,standard
problem,Condition.code,Pollen-food allergy,PROBLEM_LIST,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,432113,Pollen-food allergy,http://hl7.org/fhir/sid/icd-9-cm,995.7,Pollen-food allergy,content-match,yes,medium,embedded Epic DX 1712504 absent from this export; recovered DX_ID via name match,standard
problem,Condition.code,Preventative health care,PAT_ENC_DX,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,192858,Preventative health care,http://snomed.info/sct,305058001,Patient encounter status (finding),content-match,yes,medium,,standard
problem,Condition.code,Preventative health care,PAT_ENC_DX,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,192858,Preventative health care,http://hl7.org/fhir/sid/icd-9-cm,V70.0,Routine general medical examination at a health care facility,content-match,yes,medium,,standard
problem,Condition.code,Preventative health care,PAT_ENC_DX,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,192858,Preventative health care,http://hl7.org/fhir/sid/icd-10-cm,Z00.00,Encounter for general adult medical examination without abnormal findings,content-match,yes,medium,,standard
problem,Condition.code,"Gastroesophageal reflux disease, unspecified whether esophagitis present",PAT_ENC_DX,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,1620157,"Gastroesophageal reflux disease, unspecified whether esophagitis present",http://snomed.info/sct,235595009,Gastroesophageal reflux disease (disorder),content-match,yes,medium,,standard
problem,Condition.code,"Gastroesophageal reflux disease, unspecified whether esophagitis present",PAT_ENC_DX,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,1620157,"Gastroesophageal reflux disease, unspecified whether esophagitis present",http://snomed.info/sct,698065002,Acid reflux (finding),content-match,yes,medium,,standard
problem,Condition.code,"Gastroesophageal reflux disease, unspecified whether esophagitis present",PAT_ENC_DX,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,1620157,"Gastroesophageal reflux disease, unspecified whether esophagitis present",http://hl7.org/fhir/sid/icd-9-cm,530.81,Esophageal reflux,content-match,yes,medium,,standard
problem,Condition.code,"Gastroesophageal reflux disease, unspecified whether esophagitis present",PAT_ENC_DX,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,1620157,"Gastroesophageal reflux disease, unspecified whether esophagitis present",http://hl7.org/fhir/sid/icd-10-cm,K21.9,Gastro-esophageal reflux disease without esophagitis,content-match,yes,medium,,standard
problem,Condition.code,Screening for diabetes mellitus,PAT_ENC_DX,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,15362,Screening for diabetes mellitus,http://snomed.info/sct,305058001,Patient encounter status (finding),content-match,yes,medium,,standard
problem,Condition.code,Screening for diabetes mellitus,PAT_ENC_DX,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,15362,Screening for diabetes mellitus,http://hl7.org/fhir/sid/icd-9-cm,V77.1,Screening for diabetes mellitus,content-match,yes,medium,,standard
problem,Condition.code,Screening for diabetes mellitus,PAT_ENC_DX,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,15362,Screening for diabetes mellitus,http://hl7.org/fhir/sid/icd-10-cm,Z13.1,Encounter for screening for diabetes mellitus,content-match,yes,medium,,standard
problem,Condition.code,Screening for hyperlipidemia,PAT_ENC_DX,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,187132,Screening for hyperlipidemia,http://snomed.info/sct,305058001,Patient encounter status (finding),content-match,yes,medium,,standard
problem,Condition.code,Screening for hyperlipidemia,PAT_ENC_DX,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,187132,Screening for hyperlipidemia,http://hl7.org/fhir/sid/icd-9-cm,V77.91,Screening for lipoid disorders,content-match,yes,medium,,standard
problem,Condition.code,Screening for hyperlipidemia,PAT_ENC_DX,DX_ID,urn:oid:2.16.840.1.113883.3.247.1.1,187132,Screening for hyperlipidemia,http://hl7.org/fhir/sid/icd-10-cm,Z13.220,Encounter for screening for lipoid disorders,content-match,yes,medium,,standard
